,t2m_mean,t2m_historical,day_of_year
10024907,282.73337,5.826524588732238,346
10024908,280.8113,5.794582410362701,347
10024909,280.01767,5.792030892721059,348
10024910,281.1928,5.779838351117909,349
10024911,282.91684,5.75368801209987,350
10024912,282.18454,5.748784705681552,351
10024913,283.1289,5.739525821344662,352
10024914,282.6454,5.735797764227665,353
10024915,282.15128,5.716427240139123,354
10024916,284.30908,5.675415882637853,355
10024917,283.5081,5.610885545684092,356
10024918,283.5336,5.529795378398143,357
10024919,285.1926,5.463750228261582,358
10024920,284.2875,5.389150899251325,359
10024921,281.3195,5.31585856119794,360
10024922,283.1791,5.226353810628278,361
10024923,283.75287,5.111391347249372,362
10024924,282.19675,5.042315775553408,363
10024925,282.22885,4.960664520263695,364
10024926,281.58218,4.868568979899111,365
