xvar,est,lb,hb,group
-5.3,0.8857335217340834,0.8729735074345985,0.8986268270844403,GDP3
-5.25,0.8861201443996362,0.8734007203111334,0.8989719206229848,GDP3
-5.2,0.8865069858596686,0.8738284860251359,0.8993168958584131,GDP3
-5.15,0.8868940542322126,0.8742568153266886,0.899661758296339,GDP3
-5.1,0.8872813576453319,0.8746857187672991,0.9000065136666163,GDP3
-5.05,0.8876689042371333,0.8751152067036156,0.9003511679194818,GDP3
-5.0,0.8880567021557693,0.875545289301093,0.9006957272217496,GDP3
-4.95,0.8884447595594465,0.875975976537605,0.9010401979530639,GDP3
-4.9,0.8888330846164335,0.8764072782070261,0.9013845867021849,GDP3
-4.85,0.8892216855050691,0.8768392039227436,0.9017289002633425,GDP3
-4.8,0.8896105704137718,0.8772717631211434,0.9020731456326287,GDP3
-4.75,0.8899997475410473,0.8777049650650277,0.9024173300044463,GDP3
-4.7,0.8903892250954993,0.8781388188469934,0.90276146076801,GDP3
-4.65,0.8907790112958401,0.878573333392765,0.9031055455038932,GDP3
-4.6,0.8911691143709007,0.8790085174644713,0.9034495919806322,GDP3
-4.55,0.8915595425596406,0.8794443796638753,0.9037936081513784,GDP3
-4.5,0.891950304111164,0.8798809284355581,0.9041376021506019,GDP3
-4.45,0.8923414072847256,0.880318172070051,0.9044815822908469,GDP3
-4.4,0.892732860349749,0.8807561187069222,0.9048255570595379,GDP3
-4.35,0.8931246715858374,0.8811947763378098,0.9051695351158345,GDP3
-4.3,0.8935168492827887,0.8816341528094185,0.90551352528754,GDP3
-4.25,0.8939094017406051,0.8820742558264544,0.9058575365680545,GDP3
-4.2,0.8943023372695159,0.8825150929545224,0.9062015781133835,GDP3
-4.15,0.8946956641899849,0.8829566716229772,0.9065456592391895,GDP3
-4.1,0.8950893908327312,0.8833989991277232,0.9068897894178989,GDP3
-4.05,0.8954835255387431,0.8838420826339721,0.9072339782758451,GDP3
-4.0,0.8958780766592954,0.8842859291789568,0.9075782355904777,GDP3
-3.95,0.8962730525559661,0.8847305456745962,0.9079225712875947,GDP3
-3.9,0.8966684616006563,0.8851759389101219,0.9082669954386434,GDP3
-3.85,0.8970643121756042,0.885622115554659,0.9086115182580524,GDP3
-3.8,0.897460612673409,0.8860690821597642,0.9089561501006124,GDP3
-3.75,0.8978573714970465,0.8865168451619209,0.9093009014589027,GDP3
-3.7,0.8982545970598883,0.8869654108850012,0.9096457829607609,GDP3
-3.65,0.898652297785725,0.8874147855426724,0.9099908053667929,GDP3
-3.6,0.8990504821087857,0.8878649752407818,0.9103359795679268,GDP3
-3.55,0.8994491584737584,0.888315985979687,0.9106813165830091,GDP3
-3.5,0.8998483353358114,0.8887678236565587,0.9110268275564387,GDP3
-3.45,0.9002480211606164,0.8892204940676403,0.9113725237558442,GDP3
-3.4,0.9006482244243724,0.8896740029104757,0.9117184165697944,GDP3
-3.35,0.9010489536138262,0.8901283557860946,0.9120645175055532,GDP3
